ItemCode,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,İlk Satış Tarihi,Son Satış Tarihi,Toplam Satış,Ortalama Aylık Satış,Satış Std Sapma,Satış Yapılan Ay Sayısı,Satış Süresi (Ay),DBSCAN_Küme,CV,Satış Yapılan Ay Yüzdesi,Alt_Küme
303-104092,22,60,60,45,127,48,88,96,103,160,181,66,84,124,204,33,164,425,160,601,68,184,88,32,205,173,200,147,380,608,112,66,41,482,192,75,9,93,84,55,160,220,49,33,182,18,25,130,160,128,76,104,128,388,264,139,217,200,220,80,192,124,284,292,164,192,400,292,244,88,124,56,160,96,218,219,112,244,84,209,2019-01-01,2025-08-01,12860,160.75,121.62866292765707,80,80,0,0.7566324287879134,100.0,2
303-104068,40,148,468,161,112,362,272,545,136,289,336,108,180,420,412,32,176,492,185,731,125,388,60,52,316,394,396,248,536,172,252,136,281,308,489,148,36,328,238,80,135,250,60,141,234,94,132,84,216,56,120,124,76,332,173,545,439,404,196,175,544,196,140,364,212,96,231,395,308,209,153,4,164,104,216,244,80,256,132,112,2019-01-01,2025-08-01,18734,234.175,150.64719241419158,80,80,0,0.6433103124338275,100.0,2
303-107693,32,92,28,100,76,84,764,52,52,184,148,100,72,440,400,60,112,160,62,300,34,94,276,100,184,360,160,212,72,0,711,116,420,708,656,396,84,408,880,84,192,108,104,124,260,16,120,20,208,8,92,20,108,80,136,52,128,89,20,35,80,8,100,4,80,42,60,60,20,12,16,8,44,8,12,412,40,20,68,0,2019-01-01,2025-07-01,12287,153.5875,190.11366977865856,78,79,0,1.2378199383326023,98.73417721518987,2
303-104299,0,4,8,24,20,12,26,20,30,17,12,6,16,16,16,0,36,145,23,112,39,13,18,24,84,64,36,48,18,56,4,4,44,18,9,24,12,4,16,12,17,82,4,39,17,8,20,8,4,24,4,68,41,52,41,58,52,12,28,20,65,40,48,16,44,24,40,56,20,8,24,20,12,8,37,32,24,49,32,20,2019-02-01,2025-08-01,2308,28.85,25.074117978606218,78,79,0,0.869120207230718,98.73417721518987,2
303-105930,31,49,126,113,121,65,132,24,60,78,61,48,78,144,223,78,78,198,190,156,138,66,78,18,101,90,180,288,136,26,138,72,78,91,142,1,0,186,60,229,225,222,128,30,54,300,36,144,96,78,156,144,102,216,156,246,114,258,132,36,66,102,300,156,192,144,174,396,132,72,12,0,12,0,0,0,0,0,0,0,2019-01-01,2025-01-01,8802,110.025,84.63682279098087,71,73,0,0.7692508320016439,97.26027397260275,2
303-104083,4,12,56,24,44,84,32,24,20,40,36,17,28,16,36,20,24,223,53,108,44,28,11,20,52,88,8,35,8,60,84,112,61,52,48,220,8,8,28,14,130,45,24,12,112,28,28,70,41,0,26,56,12,52,48,44,25,12,68,28,28,4,32,84,270,0,460,76,396,12,0,232,109,24,336,191,172,36,384,4,2019-01-01,2025-08-01,5601,70.0125,93.95952451367259,77,80,0,1.342039271753938,96.25,2
303-104298,12,72,76,140,36,12,117,168,206,24,96,0,36,60,72,36,60,324,232,204,132,84,243,132,144,192,120,317,300,132,180,84,0,276,132,84,12,84,168,72,96,61,96,120,72,84,24,240,264,12,180,264,0,432,348,216,192,288,120,264,36,24,108,216,180,276,420,240,72,108,108,96,52,24,128,132,144,301,144,108,2019-01-01,2025-08-01,11161,139.5125,100.92471109756313,77,80,0,0.7234098098562003,96.25,2
303-105958,72,36,180,24,120,24,72,48,36,72,12,48,12,12,48,12,60,72,60,72,72,60,12,12,0,12,36,12,36,72,60,60,24,60,72,36,0,0,36,57,0,36,60,96,24,60,123,24,36,12,120,12,360,0,156,312,204,48,264,60,84,276,264,156,666,156,958,468,264,142,156,372,288,156,396,204,519,324,264,146,2019-01-01,2025-08-01,10087,126.0875,162.37565398276035,75,80,0,1.2878013600298233,93.75,2
303-104097,0,12,12,0,48,0,84,0,48,12,12,12,12,72,24,48,60,112,85,84,48,48,0,36,48,72,72,144,48,12,24,30,36,13,24,36,12,50,24,12,48,75,0,24,180,36,49,24,24,36,72,24,60,228,84,288,72,192,247,60,108,36,264,264,204,228,108,144,108,264,168,12,72,128,276,72,276,408,408,96,2019-02-01,2025-08-01,6993,87.4125,94.40401913644313,74,79,0,1.0799830589039683,93.67088607594937,2
303-104074,0,0,132,24,72,12,96,24,12,0,60,36,12,84,144,36,0,180,24,72,12,36,120,24,24,120,120,300,0,216,72,36,12,48,192,108,12,60,48,0,156,204,144,48,24,24,12,24,36,12,72,24,120,108,192,264,216,180,96,24,36,0,60,108,204,36,144,228,72,84,24,24,132,144,396,48,48,312,72,168,2019-03-01,2025-08-01,6900,86.25,83.57782699111627,73,78,0,0.9690182839549712,93.58974358974359,2
