ItemCode,ItemDescription,AttributeDescription,SalesYear,SalesMonth,TotalQty
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2019,1,0
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2019,2,0
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2019,3,0
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2019,4,12
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2019,5,24
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2019,6,0
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2019,7,24
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2019,8,12
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2019,9,9
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2019,10,12
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2019,11,12
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2019,12,12
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2020,1,12
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2020,2,0
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2020,3,24
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2020,4,0
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2020,5,60
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2020,6,84
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2020,7,168
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2020,8,48
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2020,9,12
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2020,10,36
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2020,11,24
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2020,12,0
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2021,1,60
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2021,2,24
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2021,3,0
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2021,4,0
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2021,5,84
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2021,6,108
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2021,7,24
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2021,8,0
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2021,9,12
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2021,10,72
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2021,11,12
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2021,12,36
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2022,1,0
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2022,2,48
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2022,3,12
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2022,4,36
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2022,5,24
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2022,6,12
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2022,7,0
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2022,8,48
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2022,9,0
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2022,10,0
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2022,11,0
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2022,12,0
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2023,1,0
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2023,2,0
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2023,3,12
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2023,4,36
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2023,5,16
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2023,6,32
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2023,7,24
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2023,8,12
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2023,9,24
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2023,10,36
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2023,11,12
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2023,12,0
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2024,1,48
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2024,2,12
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2024,3,24
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2024,4,12
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2024,5,12
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2024,6,12
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2024,7,72
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2024,8,12
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2024,9,24
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2024,10,72
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2024,11,12
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2024,12,12
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2025,1,12
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2025,2,12
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2025,3,0
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2025,4,24
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2025,5,36
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2025,6,36
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2025,7,1
303-102788,OUTBOARD 2T 12X1L,MOTUL MOTOSİKLET,2025,8,1
303-102981,C2 CHAIN LUBE ROAD 12X0.4 LT,MOTUL MOTOSİKLET,2019,1,60
303-102981,C2 CHAIN LUBE ROAD 12X0.4 LT,MOTUL MOTOSİKLET,2019,2,259
