ds,sku,y,orders,stock
2020-01-01,303-101722,12.0,0.0,0.0
2020-02-01,303-101722,0.0,0.0,0.0
2020-03-01,303-101722,0.0,0.0,0.0
2020-04-01,303-101722,0.0,0.0,12.0
2020-05-01,303-101722,0.0,0.0,12.0
2020-06-01,303-101722,0.0,0.0,12.0
2020-07-01,303-101722,0.0,0.0,12.0
2020-08-01,303-101722,0.0,0.0,12.0
2020-09-01,303-101722,0.0,0.0,12.0
2020-10-01,303-101722,0.0,0.0,12.0
2020-11-01,303-101722,0.0,0.0,12.0
2020-12-01,303-101722,0.0,0.0,12.0
2021-01-01,303-101722,0.0,0.0,12.0
2021-02-01,303-101722,0.0,0.0,12.0
2021-03-01,303-101722,0.0,0.0,12.0
2021-04-01,303-101722,0.0,0.0,12.0
2021-05-01,303-101722,0.0,0.0,12.0
2021-06-01,303-101722,0.0,0.0,12.0
2021-07-01,303-101722,0.0,0.0,12.0
2021-08-01,303-101722,0.0,0.0,12.0
2021-09-01,303-101722,0.0,0.0,12.0
2021-10-01,303-101722,0.0,0.0,12.0
2021-11-01,303-101722,0.0,0.0,35.0
2021-12-01,303-101722,0.0,0.0,35.0
2022-01-01,303-101722,0.0,0.0,35.0
2022-02-01,303-101722,0.0,0.0,35.0
2022-03-01,303-101722,0.0,0.0,35.0
2022-04-01,303-101722,0.0,0.0,35.0
2022-05-01,303-101722,12.0,0.0,35.0
2022-06-01,303-101722,2.0,0.0,23.0
2022-07-01,303-101722,12.0,0.0,21.0
2022-08-01,303-101722,0.0,0.0,9.0
2022-09-01,303-101722,0.0,0.0,33.0
2022-10-01,303-101722,0.0,0.0,33.0
2022-11-01,303-101722,0.0,0.0,33.0
2022-12-01,303-101722,0.0,0.0,33.0
2023-01-01,303-101722,0.0,0.0,33.0
2023-02-01,303-101722,0.0,0.0,33.0
2023-03-01,303-101722,0.0,0.0,33.0
2023-04-01,303-101722,0.0,0.0,33.0
2023-05-01,303-101722,0.0,0.0,33.0
2023-06-01,303-101722,0.0,0.0,33.0
2023-07-01,303-101722,0.0,0.0,33.0
2023-08-01,303-101722,0.0,0.0,33.0
2023-09-01,303-101722,0.0,0.0,33.0
2023-10-01,303-101722,0.0,0.0,33.0
2023-11-01,303-101722,0.0,0.0,33.0
2023-12-01,303-101722,0.0,0.0,33.0
2024-01-01,303-101722,0.0,0.0,33.0
2024-02-01,303-101722,0.0,0.0,33.0
2024-03-01,303-101722,24.0,0.0,33.0
2024-04-01,303-101722,0.0,0.0,9.0
2024-05-01,303-101722,0.0,0.0,9.0
2024-06-01,303-101722,0.0,0.0,9.0
2024-07-01,303-101722,0.0,0.0,9.0
2024-08-01,303-101722,0.0,0.0,9.0
2024-09-01,303-101722,9.0,0.0,9.0
2024-10-01,303-101722,0.0,0.0,0.0
2024-11-01,303-101722,0.0,0.0,0.0
2024-12-01,303-101722,0.0,0.0,0.0
2025-01-01,303-101722,0.0,0.0,0.0
2025-02-01,303-101722,0.0,0.0,0.0
2025-03-01,303-101722,0.0,0.0,0.0
2025-04-01,303-101722,0.0,0.0,0.0
2025-05-01,303-101722,0.0,0.0,0.0
2025-06-01,303-101722,0.0,0.0,0.0
2025-07-01,303-101722,0.0,0.0,0.0
2025-08-01,303-101722,0.0,0.0,0.0
2025-09-01,303-101722,0.0,0.0,0.0
2025-10-01,303-101722,0.0,0.0,0.0
2020-01-01,303-101728,0.0,0.0,0.0
2020-02-01,303-101728,0.0,0.0,0.0
2020-03-01,303-101728,0.0,0.0,0.0
2020-04-01,303-101728,0.0,0.0,0.0
2020-05-01,303-101728,0.0,0.0,0.0
2020-06-01,303-101728,0.0,0.0,0.0
2020-07-01,303-101728,0.0,0.0,0.0
2020-08-01,303-101728,0.0,0.0,0.0
2020-09-01,303-101728,0.0,0.0,0.0
2020-10-01,303-101728,0.0,0.0,0.0
2020-11-01,303-101728,0.0,0.0,0.0
2020-12-01,303-101728,0.0,0.0,0.0
2021-01-01,303-101728,0.0,0.0,0.0
2021-02-01,303-101728,0.0,0.0,0.0
2021-03-01,303-101728,0.0,0.0,0.0
2021-04-01,303-101728,0.0,0.0,0.0
2021-05-01,303-101728,0.0,0.0,0.0
2021-06-01,303-101728,0.0,0.0,0.0
2021-07-01,303-101728,0.0,4.0,0.0
2021-08-01,303-101728,4.0,0.0,4.0
2021-09-01,303-101728,0.0,0.0,0.0
2021-10-01,303-101728,0.0,0.0,0.0
2021-11-01,303-101728,0.0,0.0,4.0
2021-12-01,303-101728,1.0,1.0,4.0
2022-01-01,303-101728,0.0,0.0,3.0
2022-02-01,303-101728,0.0,0.0,3.0
2022-03-01,303-101728,0.0,0.0,3.0
2022-04-01,303-101728,0.0,0.0,3.0
2022-05-01,303-101728,0.0,0.0,3.0
2022-06-01,303-101728,0.0,0.0,3.0
2022-07-01,303-101728,0.0,0.0,3.0
2022-08-01,303-101728,0.0,0.0,3.0
2022-09-01,303-101728,0.0,0.0,3.0
2022-10-01,303-101728,0.0,0.0,3.0
2022-11-01,303-101728,0.0,0.0,3.0
2022-12-01,303-101728,0.0,0.0,3.0
2023-01-01,303-101728,0.0,0.0,3.0
2023-02-01,303-101728,0.0,0.0,3.0
2023-03-01,303-101728,0.0,0.0,3.0
2023-04-01,303-101728,0.0,0.0,3.0
2023-05-01,303-101728,3.0,3.0,3.0
2023-06-01,303-101728,0.0,0.0,0.0
2023-07-01,303-101728,0.0,0.0,0.0
2023-08-01,303-101728,0.0,0.0,0.0
2023-09-01,303-101728,0.0,0.0,0.0
2023-10-01,303-101728,0.0,0.0,0.0
2023-11-01,303-101728,0.0,0.0,0.0
2023-12-01,303-101728,0.0,0.0,0.0
2024-01-01,303-101728,0.0,0.0,0.0
2024-02-01,303-101728,0.0,0.0,0.0
2024-03-01,303-101728,0.0,0.0,0.0
2024-04-01,303-101728,0.0,0.0,0.0
2024-05-01,303-101728,0.0,0.0,0.0
2024-06-01,303-101728,0.0,0.0,0.0
2024-07-01,303-101728,0.0,0.0,0.0
2024-08-01,303-101728,0.0,0.0,0.0
2024-09-01,303-101728,0.0,0.0,0.0
2024-10-01,303-101728,0.0,0.0,0.0
2024-11-01,303-101728,0.0,0.0,0.0
2024-12-01,303-101728,0.0,0.0,0.0
2025-01-01,303-101728,0.0,0.0,0.0
2025-02-01,303-101728,0.0,0.0,0.0
2025-03-01,303-101728,0.0,0.0,0.0
2025-04-01,303-101728,8.0,8.0,0.0
2025-05-01,303-101728,0.0,0.0,0.0
2025-06-01,303-101728,0.0,0.0,0.0
2025-07-01,303-101728,0.0,0.0,0.0
2025-08-01,303-101728,0.0,0.0,0.0
2025-09-01,303-101728,0.0,0.0,0.0
2025-10-01,303-101728,0.0,0.0,0.0
2020-01-01,303-101743,0.0,0.0,0.0
2020-02-01,303-101743,0.0,0.0,0.0
2020-03-01,303-101743,0.0,0.0,0.0
2020-04-01,303-101743,0.0,0.0,4.0
2020-05-01,303-101743,0.0,0.0,4.0
2020-06-01,303-101743,4.0,0.0,4.0
2020-07-01,303-101743,0.0,0.0,0.0
2020-08-01,303-101743,0.0,0.0,12.0
2020-09-01,303-101743,0.0,0.0,16.0
2020-10-01,303-101743,0.0,0.0,16.0
2020-11-01,303-101743,0.0,0.0,16.0
2020-12-01,303-101743,0.0,0.0,16.0
2021-01-01,303-101743,0.0,0.0,16.0
2021-02-01,303-101743,0.0,0.0,16.0
2021-03-01,303-101743,0.0,0.0,16.0
2021-04-01,303-101743,0.0,0.0,16.0
2021-05-01,303-101743,4.0,0.0,16.0
2021-06-01,303-101743,0.0,0.0,12.0
2021-07-01,303-101743,0.0,0.0,12.0
2021-08-01,303-101743,0.0,0.0,12.0
2021-09-01,303-101743,0.0,0.0,12.0
2021-10-01,303-101743,0.0,0.0,8.0
2021-11-01,303-101743,0.0,0.0,8.0
2021-12-01,303-101743,0.0,0.0,8.0
2022-01-01,303-101743,0.0,0.0,8.0
2022-02-01,303-101743,0.0,0.0,8.0
2022-03-01,303-101743,0.0,0.0,8.0
2022-04-01,303-101743,0.0,0.0,8.0
2022-05-01,303-101743,0.0,0.0,8.0
2022-06-01,303-101743,0.0,0.0,8.0
2022-07-01,303-101743,0.0,0.0,8.0
2022-08-01,303-101743,0.0,0.0,8.0
2022-09-01,303-101743,0.0,0.0,8.0
2022-10-01,303-101743,0.0,0.0,8.0
2022-11-01,303-101743,0.0,0.0,8.0
2022-12-01,303-101743,0.0,0.0,8.0
2023-01-01,303-101743,0.0,0.0,8.0
2023-02-01,303-101743,0.0,0.0,8.0
2023-03-01,303-101743,0.0,0.0,8.0
2023-04-01,303-101743,4.0,0.0,8.0
2023-05-01,303-101743,0.0,0.0,4.0
2023-06-01,303-101743,0.0,0.0,4.0
2023-07-01,303-101743,0.0,0.0,4.0
2023-08-01,303-101743,0.0,0.0,4.0
2023-09-01,303-101743,0.0,0.0,4.0
2023-10-01,303-101743,0.0,0.0,4.0
2023-11-01,303-101743,0.0,0.0,4.0
2023-12-01,303-101743,0.0,0.0,4.0
2024-01-01,303-101743,0.0,0.0,4.0
2024-02-01,303-101743,0.0,0.0,4.0
2024-03-01,303-101743,0.0,0.0,4.0
2024-04-01,303-101743,0.0,0.0,4.0
2024-05-01,303-101743,0.0,0.0,4.0
2024-06-01,303-101743,0.0,0.0,4.0
2024-07-01,303-101743,0.0,0.0,4.0
2024-08-01,303-101743,0.0,0.0,4.0
2024-09-01,303-101743,0.0,0.0,4.0
2024-10-01,303-101743,0.0,0.0,4.0
2024-11-01,303-101743,0.0,0.0,4.0
2024-12-01,303-101743,0.0,0.0,4.0
2025-01-01,303-101743,0.0,0.0,4.0
2025-02-01,303-101743,0.0,0.0,4.0
2025-03-01,303-101743,0.0,0.0,4.0
2025-04-01,303-101743,0.0,0.0,4.0
2025-05-01,303-101743,0.0,0.0,4.0
2025-06-01,303-101743,0.0,0.0,4.0
2025-07-01,303-101743,0.0,0.0,4.0
2025-08-01,303-101743,0.0,0.0,4.0
2025-09-01,303-101743,0.0,0.0,4.0
2025-10-01,303-101743,4.0,0.0,4.0
