ds,y,orders,stock,year,month,quarter,season,is_Fall,is_Spring,is_Summer,is_Winter,y_lag1,y_lag12,orders_lag1,orders_lag12,stock_lag1,stock_lag12,orders_ratio,eurtry,eurusd,usdtry
2019-01-01,22,16,0,2019,1,1,Winter,0,0,0,1,,,,,,,,6.1364818181818,1.1416409090909,5.37514184128908
2019-02-01,60,64,-22,2019,2,1,Winter,0,0,0,1,22.0,,16.0,,0.0,,-2.909090909090909,5.98877,1.135115,5.27591477515494
2019-03-01,60,72,-2,2019,3,1,Spring,0,1,0,0,60.0,,64.0,,-22.0,,-36.0,6.1982571428571,1.1302476190476,5.483981596953103
2019-04-01,45,37,38,2019,4,2,Spring,0,1,0,0,60.0,,72.0,,-2.0,,0.9736842105263158,6.47065,1.123825,5.757702489266567
2019-05-01,127,135,-7,2019,5,2,Spring,0,1,0,0,45.0,,37.0,,38.0,,-19.285714285714285,6.7694136363636,1.1184590909091,6.052446344605525
2019-06-01,48,48,-14,2019,6,2,Summer,0,0,1,0,127.0,,135.0,,-7.0,,-3.4285714285714284,6.56192,1.12934,5.810402535994474
2019-07-01,88,96,-28,2019,7,3,Summer,0,0,1,0,48.0,,48.0,,-14.0,,-3.4285714285714284,6.3528260869565,1.1218391304348,5.662867263770951
2019-08-01,96,132,4,2019,8,3,Summer,0,0,1,0,88.0,,96.0,,-28.0,,33.0,6.2868545454545,1.1126227272727,5.65048186716899
2019-09-01,103,137,68,2019,9,3,Fall,1,0,0,0,96.0,,132.0,,4.0,,2.014705882352941,6.2764571428571,1.1003904761905,5.703845388217008
2019-10-01,160,136,1,2019,10,4,Fall,1,0,0,0,103.0,,137.0,,68.0,,136.0,6.4023304347826,1.1052565217391,5.7926194587919335
2019-11-01,181,173,105,2019,11,4,Fall,1,0,0,0,160.0,,136.0,,1.0,,1.6476190476190475,6.3419761904762,1.1050952380952,5.738850346878304
2019-12-01,66,67,84,2019,12,4,Winter,0,0,0,1,181.0,,173.0,,105.0,,0.7976190476190477,6.50224,1.111345,5.85078440988172
2020-01-01,84,64,18,2020,1,1,Winter,0,0,0,1,66.0,22.0,67.0,16.0,84.0,0.0,3.5555555555555554,6.5808090909091,1.1100363636364,5.928462622026939
2020-02-01,124,624,54,2020,2,1,Winter,0,0,0,1,84.0,60.0,64.0,64.0,18.0,-22.0,11.555555555555555,6.61949,1.0905,6.070142136634571
2020-03-01,204,197,70,2020,3,1,Spring,0,1,0,0,124.0,60.0,624.0,72.0,54.0,-2.0,2.8142857142857145,7.0170045454545,1.1063409090909,6.342533741449096
2020-04-01,33,33,349,2020,4,2,Spring,0,1,0,0,204.0,45.0,197.0,37.0,70.0,38.0,0.09455587392550144,7.46171,1.08619,6.869617654369862
2020-05-01,164,164,356,2020,5,2,Spring,0,1,0,0,33.0,127.0,33.0,135.0,349.0,-7.0,0.4606741573033708,7.55268,1.090185,6.927888385916152
2020-06-01,425,617,192,2020,6,2,Summer,0,0,1,0,164.0,48.0,164.0,48.0,356.0,-14.0,3.2135416666666665,7.6807,1.1254590909091,6.824503939806327
2020-07-01,160,132,166,2020,7,3,Summer,0,0,1,0,425.0,88.0,617.0,96.0,192.0,-28.0,0.7951807228915663,7.8842869565217,1.1463391304348,6.877796236032904
2020-08-01,601,636,262,2020,8,3,Summer,0,0,1,0,160.0,96.0,132.0,132.0,166.0,4.0,2.427480916030534,8.6143857142857,1.1828095238095,7.282986432626246
2020-09-01,68,56,181,2020,9,3,Fall,1,0,0,0,601.0,103.0,636.0,137.0,262.0,68.0,0.30939226519337015,8.9083681818182,1.1792409090909,7.554324237857248
2020-10-01,184,224,165,2020,10,4,Fall,1,0,0,0,68.0,160.0,56.0,136.0,181.0,1.0,1.3575757575757577,9.3700545454545,1.1775181818182,7.95746060666872
2020-11-01,88,48,1,2020,11,4,Fall,1,0,0,0,184.0,181.0,224.0,173.0,165.0,105.0,48.0,9.4521523809524,1.1837904761905,7.984649793238685
2020-12-01,32,32,133,2020,12,4,Winter,0,0,0,1,88.0,66.0,48.0,67.0,1.0,84.0,0.24060150375939848,9.3817181818182,1.2169727272727,7.70906197942753
2021-01-01,205,249,117,2021,1,1,Winter,0,0,0,1,32.0,84.0,32.0,64.0,133.0,18.0,2.128205128205128,9.005935,1.217085,7.399594112161434
2021-02-01,173,233,32,2021,2,1,Winter,0,0,0,1,205.0,124.0,249.0,624.0,117.0,54.0,7.28125,8.5785,1.20979,7.0909000735664875
2021-03-01,200,368,31,2021,3,1,Spring,0,1,0,0,173.0,204.0,233.0,197.0,32.0,70.0,11.870967741935484,9.1301347826087,1.1899086956522,7.672970889253303
2021-04-01,147,447,111,2021,4,2,Spring,0,1,0,0,200.0,33.0,368.0,33.0,31.0,349.0,4.027027027027027,9.79355,1.19791,8.175530715997027
2021-05-01,380,596,128,2021,5,2,Spring,0,1,0,0,147.0,164.0,447.0,164.0,111.0,356.0,4.65625,10.1852047619048,1.2145904761905,8.385711037229738
2021-06-01,608,360,-12,2021,6,2,Summer,0,0,1,0,380.0,425.0,596.0,617.0,128.0,192.0,-30.0,10.3822727272727,1.2047090909091,8.618074525724719
2021-07-01,112,144,244,2021,7,3,Summer,0,0,1,0,608.0,160.0,360.0,132.0,-12.0,166.0,0.5901639344262295,10.1586636363636,1.1821818181818,8.59314826207331
2021-08-01,66,61,172,2021,8,3,Summer,0,0,1,0,112.0,601.0,144.0,636.0,244.0,262.0,0.3546511627906977,9.9787954545455,1.1771818181818,8.476851494324055
2021-09-01,41,378,138,2021,9,3,Fall,1,0,0,0,66.0,68.0,61.0,56.0,172.0,181.0,2.739130434782609,10.0691045454545,1.1770318181818,8.554657902968655
2021-10-01,482,454,577,2021,10,4,Fall,1,0,0,0,41.0,184.0,378.0,224.0,138.0,165.0,0.7868284228769498,10.6808761904762,1.1601476190476,9.206480291917032
2021-11-01,192,228,95,2021,11,4,Fall,1,0,0,0,482.0,88.0,454.0,48.0,577.0,1.0,2.4,12.2361090909091,1.1414045454545,10.720221099204364
2021-12-01,75,79,23,2021,12,4,Winter,0,0,0,1,192.0,32.0,228.0,32.0,95.0,133.0,3.4347826086956523,15.4044652173913,1.1303782608696,13.627708308491924
2022-01-01,9,6,104,2022,1,1,Winter,0,0,0,1,75.0,205.0,79.0,249.0,23.0,117.0,0.057692307692307696,15.3524666666667,1.1314476190476,13.568870894429645
2022-02-01,93,117,94,2022,2,1,Winter,0,0,0,1,9.0,173.0,6.0,233.0,104.0,32.0,1.2446808510638299,15.490075,1.13419,13.657389855315246
2022-03-01,84,92,149,2022,3,1,Spring,0,1,0,0,93.0,200.0,117.0,368.0,94.0,31.0,0.6174496644295302,16.1232608695652,1.1018956521739,14.632293754636436
2022-04-01,55,70,157,2022,4,2,Spring,0,1,0,0,84.0,147.0,92.0,447.0,149.0,111.0,0.445859872611465,15.9310578947368,1.0818736842105,14.725432485551703
2022-05-01,160,240,102,2022,5,2,Spring,0,1,0,0,55.0,380.0,70.0,596.0,157.0,128.0,2.3529411764705883,16.5412090909091,1.05785,15.63663004292584
2022-06-01,220,292,262,2022,6,2,Summer,0,0,1,0,160.0,608.0,240.0,360.0,102.0,-12.0,1.1145038167938932,17.95985,1.0565818181818,16.998068385187516
2022-07-01,49,57,281,2022,7,3,Summer,0,0,1,0,220.0,112.0,292.0,144.0,262.0,244.0,0.20284697508896798,17.7895904761905,1.0178904761905,17.476920054079713
2022-08-01,33,36,232,2022,8,3,Summer,0,0,1,0,49.0,66.0,57.0,61.0,281.0,172.0,0.15517241379310345,18.2701043478261,1.0128434782609,18.038428187538642
2022-09-01,182,222,199,2022,9,3,Fall,1,0,0,0,33.0,41.0,36.0,378.0,232.0,138.0,1.1155778894472361,18.1465363636364,0.9903772727273,18.322852172954743
2022-10-01,18,20,181,2022,10,4,Fall,1,0,0,0,182.0,482.0,222.0,454.0,199.0,577.0,0.11049723756906077,18.2654619047619,0.9825666666667,18.589539544147584
2022-11-01,25,40,223,2022,11,4,Fall,1,0,0,0,18.0,192.0,20.0,228.0,181.0,95.0,0.17937219730941703,18.9877181818182,1.0201272727273,18.613087493538647
2022-12-01,130,134,198,2022,12,4,Winter,0,0,0,1,25.0,75.0,40.0,79.0,223.0,23.0,0.6767676767676768,19.7612571428571,1.058880952381,18.66239740966341
2023-01-01,160,229,68,2023,1,1,Winter,0,0,0,1,130.0,9.0,134.0,6.0,198.0,104.0,3.3676470588235294,20.23115,1.0769,18.786470424366236
2023-02-01,128,112,76,2023,2,1,Winter,0,0,0,1,160.0,93.0,229.0,117.0,68.0,94.0,1.4736842105263157,20.19808,1.07151,18.85010872507023
2023-03-01,76,80,48,2023,3,1,Spring,0,1,0,0,128.0,84.0,112.0,92.0,76.0,149.0,1.6666666666666667,20.3491173913043,1.0705826086957,19.00751723969793
2023-04-01,104,113,92,2023,4,2,Spring,0,1,0,0,76.0,55.0,80.0,70.0,48.0,157.0,1.2282608695652173,21.2266833333333,1.0967722222222,19.353775472472613
2023-05-01,128,160,28,2023,5,2,Spring,0,1,0,0,104.0,160.0,113.0,240.0,92.0,102.0,5.714285714285714,21.4918363636364,1.08675,19.776246941464365
2023-06-01,388,480,100,2023,6,2,Summer,0,0,1,0,128.0,220.0,160.0,292.0,28.0,262.0,4.8,25.7697136363636,1.0839863636364,23.773097615282826
2023-07-01,264,252,212,2023,7,3,Summer,0,0,1,0,388.0,49.0,480.0,57.0,100.0,281.0,1.1886792452830188,29.3212047619048,1.1058142857143,26.515487402086496
2023-08-01,139,219,188,2023,8,3,Summer,0,0,1,0,264.0,33.0,252.0,36.0,212.0,232.0,1.1648936170212767,29.3788173913044,1.0908869565217,26.931129037401767
2023-09-01,217,173,49,2023,9,3,Fall,1,0,0,0,139.0,182.0,219.0,222.0,188.0,199.0,3.5306122448979593,28.8643476190476,1.068380952381,27.016905865571964
2023-10-01,200,408,132,2023,10,4,Fall,1,0,0,0,217.0,18.0,173.0,20.0,49.0,181.0,3.090909090909091,29.4505954545455,1.0562545454545,27.88210056116074
2023-11-01,220,196,92,2023,11,4,Fall,1,0,0,0,200.0,25.0,408.0,40.0,132.0,223.0,2.130434782608696,30.9785545454546,1.0808227272727,28.66201252413012
2023-12-01,80,136,32,2023,12,4,Winter,0,0,0,1,220.0,130.0,196.0,134.0,92.0,198.0,4.25,31.7242631578947,1.0903052631579,29.096679828922678
2024-01-01,192,284,-8,2024,1,1,Winter,0,0,0,1,80.0,160.0,136.0,229.0,32.0,68.0,-35.5,32.8164636363636,1.0905136363636,30.092666925094647
2024-02-01,124,404,104,2024,2,1,Winter,0,0,0,1,192.0,128.0,284.0,112.0,-8.0,76.0,3.8846153846153846,33.264380952381,1.0794714285714,30.81543436161523
2024-03-01,284,324,-12,2024,3,1,Spring,0,1,0,0,124.0,76.0,404.0,80.0,104.0,48.0,-27.0,34.82293,1.08722,32.029331689998344
2024-04-01,292,288,144,2024,4,2,Spring,0,1,0,0,284.0,104.0,324.0,113.0,-12.0,92.0,2.0,34.6926,1.0727761904762,32.339084618013494
2024-05-01,164,158,72,2024,5,2,Spring,0,1,0,0,292.0,128.0,288.0,160.0,144.0,28.0,2.1944444444444446,34.8604954545455,1.0812227272727,32.24173389554841
2024-06-01,192,216,216,2024,6,2,Summer,0,0,1,0,164.0,388.0,158.0,480.0,72.0,100.0,1.0,35.0667,1.0759,32.5928989683056
2024-07-01,400,760,24,2024,7,3,Summer,0,0,1,0,192.0,264.0,216.0,252.0,216.0,212.0,31.666666666666668,35.696852173913,1.0844086956522,32.91826441178038
2024-08-01,292,396,4,2024,8,3,Summer,0,0,1,0,400.0,139.0,760.0,219.0,24.0,188.0,99.0,37.1098181818182,1.1012181818182,33.69887892746821
2024-09-01,244,249,248,2024,9,3,Fall,1,0,0,0,292.0,217.0,396.0,173.0,4.0,49.0,1.0040322580645162,37.8238238095238,1.1106,34.05710769811255
2024-10-01,88,84,216,2024,10,4,Fall,1,0,0,0,244.0,200.0,249.0,408.0,248.0,132.0,0.3888888888888889,37.3473086956522,1.0904347826087,34.249924242424136
2024-11-01,124,128,127,2024,11,4,Fall,1,0,0,0,88.0,220.0,84.0,196.0,216.0,92.0,1.0078740157480315,36.6237476190476,1.0630142857143,34.45273324284444
2024-12-01,56,56,167,2024,12,4,Winter,0,0,0,1,124.0,80.0,128.0,136.0,127.0,32.0,0.33532934131736525,36.65884,1.047875,34.98398186806632
2025-01-01,160,176,153,2025,1,1,Winter,0,0,0,1,56.0,192.0,56.0,284.0,167.0,-8.0,1.1503267973856208,36.8090863636364,1.0353727272727,35.55153172770553
2025-02-01,96,96,145,2025,2,1,Winter,0,0,0,1,160.0,124.0,176.0,404.0,153.0,104.0,0.6620689655172414,37.692715,1.04125,36.19948619447779
2025-03-01,218,256,97,2025,3,1,Spring,0,1,0,0,96.0,284.0,96.0,324.0,145.0,-12.0,2.6391752577319587,40.1682857142857,1.080680952381,37.16942139656049
2025-04-01,219,216,78,2025,4,2,Spring,0,1,0,0,218.0,292.0,256.0,288.0,97.0,144.0,2.769230769230769,42.774,1.121395,38.143562259507135
